epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,3436.46,0.7912,2.11386,0.85387,0.92268,0,0.58575,0.45917,0.40407,0.25967,0.51979,0.37312,0.30344,0.16043,0.76564,2.15325,0.86899,0.93392,0,0.000272135,0.000272135,0.000272135
53,3501.84,0.8031,2.16543,0.86374,0.92651,0,0.61537,0.42577,0.405,0.26331,0.54421,0.35455,0.30933,0.16257,0.76886,2.18447,0.88735,0.93411,0,0.000263499,0.000263499,0.000263499
54,3568.6,0.80374,2.19616,0.85353,0.92774,0,0.60145,0.42818,0.43306,0.28043,0.52763,0.35346,0.30755,0.1616,0.76542,2.18979,0.87501,0.93339,0,0.00025488,0.00025488,0.00025488
55,3634.53,0.78665,2.08624,0.83719,0.92231,0,0.62028,0.43123,0.41826,0.26819,0.54395,0.36579,0.30707,0.15924,0.75454,2.15218,0.85175,0.92787,0,0.000246286,0.000246286,0.000246286
56,3700.8,0.79381,2.14112,0.84345,0.92265,0,0.61435,0.43496,0.41534,0.26845,0.56197,0.35172,0.31477,0.16329,0.76007,2.13498,0.85705,0.93239,0,0.000237726,0.000237726,0.000237726
57,3767.13,0.77718,2.09858,0.82705,0.92276,0,0.57615,0.45107,0.41038,0.2694,0.51183,0.36771,0.30575,0.15986,0.75679,2.12756,0.87099,0.93045,0,0.000229209,0.000229209,0.000229209
58,3832.99,0.77929,2.07924,0.82877,0.91764,0,0.60257,0.45064,0.4239,0.27254,0.54452,0.35531,0.31499,0.16525,0.76466,2.15994,0.87913,0.93129,0,0.000220743,0.000220743,0.000220743
59,3899.42,0.78194,2.10318,0.83501,0.92268,0,0.59153,0.4491,0.41938,0.26842,0.52237,0.38542,0.32169,0.16609,0.75449,2.11667,0.86189,0.93059,0,0.000212336,0.000212336,0.000212336
60,3965.33,0.78329,2.09898,0.82433,0.91696,0,0.59238,0.45016,0.4098,0.2681,0.54654,0.38694,0.32137,0.16396,0.75321,2.14022,0.85218,0.92933,0,0.000203996,0.000203996,0.000203996
61,4030.96,0.77569,2.09107,0.82312,0.91995,0,0.60303,0.43372,0.42713,0.27887,0.53085,0.36586,0.31029,0.16193,0.75837,2.13823,0.85475,0.92932,0,0.000195732,0.000195732,0.000195732
62,4096.42,0.77965,2.11018,0.8188,0.92056,0,0.59964,0.45062,0.42526,0.2785,0.5375,0.38253,0.32742,0.17068,0.76157,2.1179,0.84432,0.92984,0,0.000187553,0.000187553,0.000187553
63,4161.79,0.76659,2.05839,0.80164,0.91449,0,0.61809,0.43511,0.41856,0.2735,0.55454,0.37201,0.31614,0.16434,0.75343,2.12011,0.85414,0.92815,0,0.000179465,0.000179465,0.000179465
64,4227.95,0.77954,2.05565,0.81247,0.92044,0,0.59805,0.45317,0.41684,0.27182,0.53672,0.39399,0.31744,0.16627,0.75663,2.14251,0.85724,0.92625,0,0.000171477,0.000171477,0.000171477
65,4293.45,0.77008,2.06161,0.80435,0.91764,0,0.58926,0.46063,0.41297,0.273,0.52522,0.39169,0.31044,0.1649,0.74972,2.13302,0.85115,0.92633,0,0.000163597,0.000163597,0.000163597
66,4358.33,0.7694,2.02789,0.81689,0.91815,0,0.59182,0.43964,0.41492,0.26996,0.54919,0.34232,0.30762,0.16205,0.74863,2.1204,0.85281,0.92637,0,0.000155833,0.000155833,0.000155833
67,4425.04,0.76897,2.06635,0.80338,0.91327,0,0.59444,0.46427,0.42133,0.27565,0.51442,0.38175,0.3111,0.16554,0.74752,2.137,0.83545,0.92442,0,0.000148192,0.000148192,0.000148192
68,4492.06,0.76743,2.06945,0.80343,0.91239,0,0.60222,0.46613,0.41721,0.27775,0.53874,0.38057,0.31572,0.16555,0.74951,2.156,0.84298,0.92692,0,0.000140682,0.000140682,0.000140682
69,4557.57,0.76891,2.01939,0.80728,0.9182,0,0.58639,0.44248,0.40711,0.26845,0.49244,0.38693,0.30393,0.16103,0.75334,2.1546,0.84784,0.92741,0,0.00013331,0.00013331,0.00013331
70,4624.5,0.77944,2.0751,0.80462,0.91343,0,0.56826,0.48348,0.42214,0.27493,0.57236,0.33998,0.31365,0.16319,0.75622,2.15349,0.84084,0.9282,0,0.000126083,0.000126083,0.000126083
71,4690.4,0.77024,2.03674,0.7995,0.91416,0,0.58636,0.44977,0.41353,0.27413,0.53886,0.3681,0.31214,0.16776,0.74676,2.12302,0.84338,0.92458,0,0.00011901,0.00011901,0.00011901
72,4757.09,0.75874,2.00474,0.7905,0.90981,0,0.63143,0.4259,0.43305,0.2812,0.5488,0.37029,0.32536,0.16875,0.74519,2.1245,0.83739,0.92338,0,0.000112096,0.000112096,0.000112096
73,4823.77,0.76059,2.028,0.79275,0.91339,0,0.60302,0.45477,0.41834,0.27674,0.53894,0.38634,0.32013,0.16837,0.7456,2.13303,0.83365,0.92373,0,0.000105348,0.000105348,0.000105348
74,4889.82,0.75672,2.0575,0.78465,0.91607,0,0.61333,0.44618,0.43525,0.28376,0.53425,0.37897,0.32209,0.1686,0.74205,2.14027,0.82672,0.9231,0,9.87737e-05,9.87737e-05,9.87737e-05
75,4956.12,0.75551,1.99659,0.78124,0.91309,0,0.62672,0.45272,0.42757,0.28281,0.55432,0.37308,0.32018,0.17041,0.74053,2.11493,0.82303,0.92465,0,9.23789e-05,9.23789e-05,9.23789e-05
76,5022.32,0.75723,2.02175,0.78672,0.90952,0,0.61696,0.44904,0.42594,0.27955,0.5392,0.38475,0.31617,0.16827,0.74382,2.14988,0.82813,0.9243,0,8.61701e-05,8.61701e-05,8.61701e-05
77,5088.88,0.75411,2.0406,0.77759,0.91292,0,0.62384,0.45036,0.43111,0.28481,0.56313,0.37569,0.32542,0.17347,0.73868,2.15829,0.82983,0.92252,0,8.01533e-05,8.01533e-05,8.01533e-05
78,5153.99,0.76408,2.02485,0.79217,0.91516,0,0.60897,0.44406,0.42427,0.2822,0.53778,0.3799,0.32305,0.16967,0.74369,2.14666,0.84021,0.92427,0,7.43344e-05,7.43344e-05,7.43344e-05
79,5219.41,0.75634,1.97983,0.77854,0.90917,0,0.619,0.44101,0.42574,0.28089,0.55339,0.37434,0.32725,0.17225,0.73927,2.12934,0.83967,0.9225,0,6.87193e-05,6.87193e-05,6.87193e-05
80,5285.6,0.75503,1.99602,0.77805,0.91158,0,0.61354,0.44416,0.42936,0.28086,0.54834,0.36729,0.32766,0.16995,0.73888,2.13369,0.82956,0.92237,0,6.33135e-05,6.33135e-05,6.33135e-05
