species_id,species_name,rank,neighbor_id,neighbor_name,distance
0130,Castanea sativa Mill.,1,0129,Castanea crenata Siebold & Zucc.,0.18118975757986464
0130,Castanea sativa Mill.,2,0550,Quercus mongolica Fisch. ex Ledeb.,0.3373019480694961
0130,Castanea sativa Mill.,3,0553,Quercus petraea (Matt.) Liebl.,0.3408741630053994
0130,Castanea sativa Mill.,4,0554,Quercus robur L.,0.37142689489253733
0130,Castanea sativa Mill.,5,0552,Quercus alba L.,0.40884183437557736
0147,Ceiba pentandra (L.) Gaertn.,1,0236,Dipterocarpus C.F.Gaertn.,0.0877361579964018
0147,Ceiba pentandra (L.) Gaertn.,2,0238,Dipterocarpus kerrii King,0.08783720827859268
0147,Ceiba pentandra (L.) Gaertn.,3,0295,Fraxinus nigra Marshall,0.19586946190831106
0147,Ceiba pentandra (L.) Gaertn.,4,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.24422712950843187
0147,Ceiba pentandra (L.) Gaertn.,5,0195,Ctenolophon parvifolius Oliv.,0.2774555136611193
0157,Ceriops tagal (Perr.) C.B. Robinson,1,0181,Cotylelobium Pierre,0.0726582185964885
0157,Ceriops tagal (Perr.) C.B. Robinson,2,0366,Juglans regia L.,0.22249660627206316
0157,Ceriops tagal (Perr.) C.B. Robinson,3,0041,Aniba rosodora Ducke,0.23465046468200235
0157,Ceriops tagal (Perr.) C.B. Robinson,4,0313,Grevillea robusta A.Cunn. ex R.Br.,0.3214358890702305
0157,Ceriops tagal (Perr.) C.B. Robinson,5,0080,Betula papyrifera Marshall,0.3313874672095309
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",1,0034,Anacardium L.,0.3509403101975379
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",2,0030,Amburana cearensis (Allemão) A.C.Sm.,0.3591276632207141
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",3,0003,Acacia mangium Willd.,0.3755762568713689
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",4,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3782929219012704
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",5,0613,Tabebuia rosea (Bert.) DC.,0.39443196904252464
0181,Cotylelobium Pierre,1,0157,Ceriops tagal (Perr.) C.B. Robinson,0.0726582185964885
0181,Cotylelobium Pierre,2,0236,Dipterocarpus C.F.Gaertn.,0.3146363009313086
0181,Cotylelobium Pierre,3,0366,Juglans regia L.,0.3217404906064151
0181,Cotylelobium Pierre,4,0041,Aniba rosodora Ducke,0.3383884236937371
0181,Cotylelobium Pierre,5,0238,Dipterocarpus kerrii King,0.3413993532343773
0195,Ctenolophon parvifolius Oliv.,1,0295,Fraxinus nigra Marshall,0.154959546740543
0195,Ctenolophon parvifolius Oliv.,2,0238,Dipterocarpus kerrii King,0.16127429112198555
0195,Ctenolophon parvifolius Oliv.,3,0236,Dipterocarpus C.F.Gaertn.,0.16304042960445025
