species_id,species_name,rank,neighbor_id,neighbor_name,distance
0157,Ceriops tagal (Perr.) C.B. Robinson,5,0238,Dipterocarpus kerrii King,0.38699288538782284
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",1,0030,Amburana cearensis (Allemão) A.C.Sm.,0.2736227820877635
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",2,0034,Anacardium L.,0.3272682965262954
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",3,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3399095380387819
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",4,0613,Tabebuia rosea (Bert.) DC.,0.37730036469094724
0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",5,0096,Brosimum guianense (Aubl.) Huber ex Ducke,0.3958559489995904
0181,Cotylelobium Pierre,1,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.14622150570976708
0181,Cotylelobium Pierre,2,0045,Anopyxis klaineana (Pierre) Engl.,0.25019733396940375
0181,Cotylelobium Pierre,3,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.26879112262097044
0181,Cotylelobium Pierre,4,0238,Dipterocarpus kerrii King,0.32509830539290163
0181,Cotylelobium Pierre,5,0195,Ctenolophon parvifolius Oliv.,0.3352147024206297
0195,Ctenolophon parvifolius Oliv.,1,0238,Dipterocarpus kerrii King,0.2413004189615895
0195,Ctenolophon parvifolius Oliv.,2,0295,Fraxinus nigra Marshall,0.24735007877409096
0195,Ctenolophon parvifolius Oliv.,3,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.3200381798210229
0195,Ctenolophon parvifolius Oliv.,4,0181,Cotylelobium Pierre,0.3352147024206297
0195,Ctenolophon parvifolius Oliv.,5,0147,Ceiba pentandra (L.) Gaertn.,0.3506146004833485
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,1,0399,Lovoa trichilioides Harms,0.39535086668437736
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,2,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.45244800991940926
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,3,0003,Acacia mangium Willd.,0.4792279514496808
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,4,0030,Amburana cearensis (Allemão) A.C.Sm.,0.5322254295538735
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,5,0625,Terminalia superba Engl.& Diels,0.5468339570600828
0214,Daniellia thurifera Benn.,1,0115,Carapa guianensis Aubl.,0.2565217208681283
0214,Daniellia thurifera Benn.,2,0606,Swietenia humilis Zucc.,0.31894741031507023
0214,Daniellia thurifera Benn.,3,0258,Entandrophragma cylindricum (Sprague) Sprague,0.42098991857975226
0214,Daniellia thurifera Benn.,4,0607,Swietenia macrophylla King,0.43774289327062954
0214,Daniellia thurifera Benn.,5,0073,Balfourodendron riedelianum (Engl.) Engl.,0.44518714021962835
0236,Dipterocarpus C.F.Gaertn.,1,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.14856621334858502
0236,Dipterocarpus C.F.Gaertn.,2,0035,Anacardium giganteum Hancock ex Engl.,0.177491945005532
0236,Dipterocarpus C.F.Gaertn.,3,0238,Dipterocarpus kerrii King,0.17783804507573886
0236,Dipterocarpus C.F.Gaertn.,4,0295,Fraxinus nigra Marshall,0.21010638874902032
0236,Dipterocarpus C.F.Gaertn.,5,0147,Ceiba pentandra (L.) Gaertn.,0.28035367330244687
0238,Dipterocarpus kerrii King,1,0295,Fraxinus nigra Marshall,0.05868750265168149
0238,Dipterocarpus kerrii King,2,0147,Ceiba pentandra (L.) Gaertn.,0.10204665631434792
